Approximation,Model,dataset,Accuracy,Time,Features
Parametric KernelSHAP,agnostic,glass,5.00E+01,0.013125,9
Non-parametric KernelSHAP,agnostic,glass,5.00E+01,0.012579,9
Non-parametric KernelSHAP,agnostic,hybrid,5.00E+01,0.034521,11
Parametric KernelSHAP,agnostic,hybrid,5.00E+01,0.036143,11
Parametric KernelSHAP,agnostic,migration,5.00E+01,0.040566,11
Non-parametric KernelSHAP,agnostic,migration,5.00E+01,0.035906,11
Parametric KernelSHAP,agnostic,precip,5.00E+01,0.025267,9
Non-parametric KernelSHAP,agnostic,precip,5.00E+01,0.021925,9
Parametric KernelSHAP,agnostic,country-data,5.00E+01,0.012484,9
Non-parametric KernelSHAP,agnostic,country-data,5.00E+01,0.011738,9
Parametric KernelSHAP,agnostic,sacramento,5.00E+01,0.009008,5
Non-parametric KernelSHAP,agnostic,sacramento,5.00E+01,0.008601,5
Parametric KernelSHAP,agnostic,diamond,5.00E+01,0.012565,7
Non-parametric KernelSHAP,agnostic,diamond,5.00E+01,0.01815,7
Non-parametric KernelSHAP,agnostic,airline-costs,5.00E+01,0.010952,9
Parametric KernelSHAP,agnostic,airline-costs,5.00E+01,0.010431,9
Parametric KernelSHAP,agnostic,pumpkinseed,5.00E+01,0.514956,12
Non-parametric KernelSHAP,agnostic,pumpkinseed,5.00E+01,0.104296,12
Non-parametric KernelSHAP,agnostic,yatch,5.00E+01,0.006555,6
Parametric KernelSHAP,agnostic,yatch,5.00E+01,0.006312,6
Parametric KernelSHAP,agnostic,jewellery,5.00E+01,0.005609,3
Non-parametric KernelSHAP,agnostic,jewellery,5.00E+01,0.006746,3
Non-parametric KernelSHAP,agnostic,startups,5.00E+01,0.005507,4
Parametric KernelSHAP,agnostic,startups,5.00E+01,0.004398,4
Non-parametric KernelSHAP,agnostic,insurance,5.00E+01,0.01025,6
Parametric KernelSHAP,agnostic,insurance,5.00E+01,0.009199,6
Parametric KernelSHAP,agnostic,wholesale,5.00E+01,0.007908,7
Non-parametric KernelSHAP,agnostic,wholesale,5.00E+01,0.00821,7
Parametric KernelSHAP,agnostic,forest,5.00E+01,0.127631,12
Non-parametric KernelSHAP,agnostic,forest,5.00E+01,0.074732,12
Parametric KernelSHAP,agnostic,forestfire,5.00E+01,0.128828,12
Non-parametric KernelSHAP,agnostic,forestfire,5.00E+01,0.075222,12
Parametric KernelSHAP,agnostic,japanemg,5.00E+01,0.004553,5
Non-parametric KernelSHAP,agnostic,japanemg,5.00E+01,0.006803,5
Parametric KernelSHAP,agnostic,economics,5.00E+01,0.006988,4
Parametric KernelSHAP,agnostic,unemploy,5.00E+01,0.00693,4
Non-parametric KernelSHAP,agnostic,unemploy,5.00E+01,0.006736,4
Non-parametric KernelSHAP,agnostic,economics,5.00E+01,0.006625,4
Non-parametric KernelSHAP,agnostic,france,5.00E+01,0.011811,7
Parametric KernelSHAP,agnostic,france,5.00E+01,0.010658,7
Parametric KernelSHAP,agnostic,spx,5.00E+01,0.007886,3
Non-parametric KernelSHAP,agnostic,spx,5.00E+01,0.00781,3
Parametric KernelSHAP,agnostic,petrol,5.00E+01,0.004617,4
Non-parametric KernelSHAP,agnostic,petrol,5.00E+01,0.004244,4
Non-parametric KernelSHAP,agnostic,uber,5.00E+01,0.009045,5
Parametric KernelSHAP,agnostic,uber,5.00E+01,0.00894,5
Parametric KernelSHAP,agnostic,kiva,5.00E+01,0.008804,6
Non-parametric KernelSHAP,agnostic,kiva,5.00E+01,0.009446,6
Non-parametric KernelSHAP,agnostic,germany,5.00E+01,0.011828,7
Parametric KernelSHAP,agnostic,germany,5.00E+01,0.010361,7
Non-parametric KernelSHAP,agnostic,challenger,5.00E+01,0.00408,4
Parametric KernelSHAP,agnostic,challenger,5.00E+01,0.004778,4
Non-parametric KernelSHAP,agnostic,raotbl7,5.00E+01,0.005193,7
Parametric KernelSHAP,agnostic,raotbl7,5.00E+01,0.006306,7
Parametric KernelSHAP,agnostic,slump-flow,5.00E+01,0.005999,7
Non-parametric KernelSHAP,agnostic,slump-flow,5.00E+01,0.008452,7
Parametric KernelSHAP,agnostic,slump,5.00E+01,0.006188,7
Non-parametric KernelSHAP,agnostic,slump,5.00E+01,0.006722,7
Parametric KernelSHAP,agnostic,apartments,5.00E+01,0.005375,3
Non-parametric KernelSHAP,agnostic,apartments,5.00E+01,0.005948,3
CES,agnostic,airline-costs,5.00E+01,0.1579295635,9
Cohort,agnostic,airline-costs,5.00E+01,0.1579295635,9
SGDShapley,agnostic,uber,5.00E+01,4.959110178,5
Exhaustive,agnostic,uber,5.00E+01,459.7398925,5
Non-parametric KernelSHAP,agnostic,cust,5.00E+01,0.013915,8
Parametric KernelSHAP,agnostic,cust,5.00E+01,0.015583,8
Parametric KernelSHAP,agnostic,rentals,5.00E+01,0.017215,8
Non-parametric KernelSHAP,agnostic,rentals,5.00E+01,0.015362,8
Parametric KernelSHAP,agnostic,linnerud,5.00E+01,0.00482,5
Non-parametric KernelSHAP,agnostic,linnerud,5.00E+01,0.005085,5
Non-parametric KernelSHAP,agnostic,casp,5.00E+01,0.019816,9
Parametric KernelSHAP,agnostic,casp,5.00E+01,0.025819,9
Non-parametric KernelSHAP,agnostic,bikedaily,5.00E+01,0.055466,11
Parametric KernelSHAP,agnostic,bikedaily,5.00E+01,0.06054,11
Parametric KernelSHAP,agnostic,computer,5.00E+01,0.005914,7
Non-parametric KernelSHAP,agnostic,computer,5.00E+01,0.00679,7
SGDShapley,agnostic,walmart,5.00E+01,0.2988391688,6
Non-parametric KernelSHAP,agnostic,slump-mpa,5.00E+01,0.006312,7
Parametric KernelSHAP,agnostic,slump-mpa,5.00E+01,0.006192,7
Parametric KernelSHAP,agnostic,airquality,5.00E+01,0.225842,12
Non-parametric KernelSHAP,agnostic,airquality,5.00E+01,0.123646,12
Parametric KernelSHAP,agnostic,raotbl6,5.00E+01,0.006206,7
Non-parametric KernelSHAP,agnostic,raotbl6,5.00E+01,0.006553,7
Parametric KernelSHAP,agnostic,wage,5.00E+01,0.017409,8
Non-parametric KernelSHAP,agnostic,wage,5.00E+01,0.0152,8
Parametric KernelSHAP,agnostic,adult,5.00E+01,0.462719,12
Non-parametric KernelSHAP,agnostic,adult,5.00E+01,0.118645,12
SGDShapley,agnostic,seoulbike,5.00E+01,0.2431804787,12
Non-parametric KernelSHAP,agnostic,wine,5.00E+01,0.106334,12
Parametric KernelSHAP,agnostic,wine,5.00E+01,0.533692,12
