Approximation,Model,dataset,Accuracy,Time,Features
CES,linear,3droad,99.99964129,0.1862473464,3
Cohort,linear,3droad,99.24075854,0.1862473464,3
Exhaustive,linear,3droad,99.99983514,5.561249256,3
IME,linear,3droad,99.79495738,0.09779863791,3
KernelSHAP,linear,3droad,99.999926,0.08057418592,3
Linear (correlated),linear,3droad,99.999926,0.000138168624,3
Linear (independent),linear,3droad,98.80014393,8.97E-06,3
MLE,linear,3droad,99.8900212,0.1475304885,3
Non-parametric KernelSHAP,linear,3droad,51.87075457,0.008225,3
Parametric KernelSHAP,linear,3droad,51.87075501,0.011315,3
SGDShapley,linear,3droad,99.999926,0.09931231918,3
CES,linear,abalone,50,2.293793273,10
Cohort,linear,abalone,1.769338145,2.293793273,10
Exhaustive,linear,abalone,99.82283384,1987.792754,10
IME,linear,abalone,97.87271654,0.1089873957,10
KernelSHAP,linear,abalone,99.99677618,0.07874942765,10
Linear (correlated),linear,abalone,99.8240892,1.56E-05,10
Linear (independent),linear,abalone,94.90837375,8.93E-06,10
MLE,linear,abalone,97.96974568,0.1729947618,10
Non-parametric KernelSHAP,linear,abalone,50,0.035241,10
Parametric KernelSHAP,linear,abalone,50,0.037409,10
SGDShapley,linear,abalone,99.95734739,0.10391066,10
CES,linear,admission,94.28198449,0.5733654284,7
Cohort,linear,admission,92.22419794,0.5733654284,7
Exhaustive,linear,admission,95.68547962,59.50695109,7
IME,linear,admission,95.40167888,0.1040940545,7
KernelSHAP,linear,admission,95.68547962,0.07774172118,7
Linear (correlated),linear,admission,95.68547962,1.84E-05,7
Linear (independent),linear,admission,99.72125104,1.10E-05,7
MLE,linear,admission,95.68135653,0.1634516225,7
Non-parametric KernelSHAP,linear,admission,95.68548058,0.008516,7
Parametric KernelSHAP,linear,admission,95.6854806,0.007578,7
SGDShapley,linear,admission,95.68547962,0.110070282,7
CES,linear,adult,96.05652155,3.803092575,12
Cohort,linear,adult,98.2424941,3.803092575,12
Exhaustive,linear,adult,99.99863969,56111.61165,12
IME,linear,adult,98.81068343,0.1140133222,12
KernelSHAP,linear,adult,99.00816964,0.08290782192,12
Linear (correlated),linear,adult,99.00816964,1.68E-05,12
Linear (independent),linear,adult,94.34207439,8.18E-06,12
MLE,linear,adult,98.89746192,0.1787207148,12
Non-parametric KernelSHAP,linear,adult,99.88954076,0.141517,12
Parametric KernelSHAP,linear,adult,99.88954076,0.141517,12
SGDShapley,linear,adult,99.00816964,0.1091343952,12
CES,linear,advertisements,97.40556743,0.0755409508,4
Cohort,linear,advertisements,94.92950606,0.0755409508,4
Exhaustive,linear,advertisements,97.40764444,0.8654003143,4
IME,linear,advertisements,97.21827532,0.09589129144,4
KernelSHAP,linear,advertisements,97.40764444,0.07614032427,4
Linear (correlated),linear,advertisements,97.40764444,3.13E-05,4
Linear (independent),linear,advertisements,99.0325738,1.92E-05,4
MLE,linear,advertisements,97.35790567,0.1504407543,4
Non-parametric KernelSHAP,linear,advertisements,97.40764448,0.007009,4
Parametric KernelSHAP,linear,advertisements,97.40764436,0.010055,4
SGDShapley,linear,advertisements,97.40764444,0.09843709252,4
CES,linear,advertising,97.40205787,0.08129340952,4
Cohort,linear,advertising,94.94299819,0.08129340952,4
Exhaustive,linear,advertising,97.40764444,0.7378139496,4
IME,linear,advertising,97.13554458,0.09688157024,4
KernelSHAP,linear,advertising,97.40764444,0.07643213417,4
Linear (correlated),linear,advertising,97.40764444,3.37E-05,4
Linear (independent),linear,advertising,99.0325738,2.04E-05,4
MLE,linear,advertising,97.31612325,0.1492686416,4
Non-parametric KernelSHAP,linear,advertising,97.40764448,0.005296,4
Parametric KernelSHAP,linear,advertising,97.40764436,0.009106,4
SGDShapley,linear,advertising,97.40764444,0.1004882184,4
CES,linear,airfoil,98.74540453,0.595255785,5
Cohort,linear,airfoil,99.52847286,0.595255785,5
Exhaustive,linear,airfoil,99.94470048,5.312796831,5
IME,linear,airfoil,99.58286866,0.09896546927,5
KernelSHAP,linear,airfoil,99.80375121,0.0759269606,5
Linear (correlated),linear,airfoil,99.80375121,1.55E-05,5
Linear (independent),linear,airfoil,92.8559575,7.52E-06,5
MLE,linear,airfoil,99.68682187,0.1578229326,5
Non-parametric KernelSHAP,linear,airfoil,99.86012352,0.009356,5
Parametric KernelSHAP,linear,airfoil,99.8601235,0.00925,5
SGDShapley,linear,airfoil,99.80375121,0.1013478416,5
CES,linear,airfoil-self-noise,98.75881442,0.3132464242,5
Cohort,linear,airfoil-self-noise,99.58267073,0.3132464242,5
Exhaustive,linear,airfoil-self-noise,99.94470048,4.159085751,5
IME,linear,airfoil-self-noise,99.49349394,0.1001641028,5
KernelSHAP,linear,airfoil-self-noise,99.80375121,0.07794843226,5
Linear (correlated),linear,airfoil-self-noise,99.80375121,1.97E-05,5
Linear (independent),linear,airfoil-self-noise,92.8559575,8.18E-06,5
MLE,linear,airfoil-self-noise,99.67236626,0.1526497711,5
Non-parametric KernelSHAP,linear,airfoil-self-noise,99.86012352,0.00907,5
Parametric KernelSHAP,linear,airfoil-self-noise,99.8601235,0.009497,5
SGDShapley,linear,airfoil-self-noise,99.80375121,0.1002812783,5
CES,linear,airline-costs,50,0.03363611698,9
Cohort,linear,airline-costs,25,0.03363611698,9
Exhaustive,linear,airline-costs,50,152.9502032,9
IME,linear,airline-costs,50,0.1074694633,9
KernelSHAP,linear,airline-costs,50,0.08607876301,9
Linear (correlated),linear,airline-costs,50,0.0001226425171,9
Linear (independent),linear,airline-costs,50,0.0001003026962,9
MLE,linear,airline-costs,50,0.1727361202,9
Non-parametric KernelSHAP,linear,airline-costs,50,0.011823,9
Parametric KernelSHAP,linear,airline-costs,50,0.012249,9
SGDShapley,linear,airline-costs,50,0.1055776596,9
