Approximation,Model,dataset,Accuracy,Time,Features
CES,Neural network,3droad,99.40758544,2.307918832,3
Cohort,Neural network,3droad,99.24075854,2.307918832,3
DASP,Neural network,3droad,99.99988461,0.2503508416,3
DeepLIFT,Neural network,3droad,98.78416249,0.0009710571983,3
DeepSHAP,Neural network,3droad,99.9984606,0.003286538702,3
Exhaustive,Neural network,3droad,99.99995769,1686.938297,3
IME,Neural network,3droad,99.9000125,0.349272168,3
KernelSHAP,Neural network,3droad,99.99799371,0.06889625896,3
MLE,Neural network,3droad,99.89786497,0.181506594,3
Non-parametric KernelSHAP,Neural network,3droad,97.97002424,0.008391,3
Parametric KernelSHAP,Neural network,3droad,97.97002754,0.008962,3
SGDShapley,Neural network,3droad,99.99799371,0.110584082,3
CES,Neural network,abalone,1.769338145,8.447684174,10
Cohort,Neural network,abalone,1.769338145,8.447684174,10
DASP,Neural network,abalone,99.9689259,0.25542807,10
DeepLIFT,Neural network,abalone,98.36952682,0.002084105355,10
DeepSHAP,Neural network,abalone,99.99689265,0.003387467066,10
Exhaustive,Neural network,abalone,99.76332691,527202.2796,10
IME,Neural network,abalone,99.23240386,0.4035047928,10
KernelSHAP,Neural network,abalone,99.54312315,0.06976284909,10
MLE,Neural network,abalone,98.31332393,0.2082095522,10
Non-parametric KernelSHAP,Neural network,abalone,99.50105978,0.035548,10
Parametric KernelSHAP,Neural network,abalone,99.50106038,0.043606,10
SGDShapley,Neural network,abalone,49.15800039,0.1196524071,10
CES,Neural network,admission,92.24197941,2.823523893,7
Cohort,Neural network,admission,92.22419794,2.823523893,7
DASP,Neural network,admission,97.47595964,0.2586626732,7
DeepLIFT,Neural network,admission,95.30991427,0.0015218533,7
DeepSHAP,Neural network,admission,97.27596106,0.004128330404,7
Exhaustive,Neural network,admission,93.37315159,3090.873772,7
IME,Neural network,admission,93.10619423,0.3897617383,7
KernelSHAP,Neural network,admission,93.37315159,0.07016589714,7
MLE,Neural network,admission,93.34591841,0.2021624435,7
Non-parametric KernelSHAP,Neural network,admission,93.81947741,0.008438,7
Parametric KernelSHAP,Neural network,admission,93.81947743,0.009254,7
SGDShapley,Neural network,admission,93.37315159,0.1155014327,7
CES,Neural network,adult,98.24494103,12.53753119,12
Cohort,Neural network,adult,98.2424941,12.53753119,12
DASP,Neural network,adult,99.8324118,0.2560527657,12
DeepLIFT,Neural network,adult,98.05057905,0.002368388031,12
DeepSHAP,Neural network,adult,99.88323939,0.003561045907,12
Exhaustive,Neural network,adult,99.97067548,3632658.032,12
IME,Neural network,adult,99.79665172,0.4152148095,12
KernelSHAP,Neural network,adult,99.8744343,0.07002708262,12
MLE,Neural network,adult,99.6127013,0.2103791894,12
Non-parametric KernelSHAP,Neural network,adult,99.52532903,0.111433,12
Parametric KernelSHAP,Neural network,adult,99.52532903,0.111433,12
SGDShapley,Neural network,adult,64.77334469,0.1215503888,12
CES,Neural network,advertisements,94.99506059,0.6559333223,4
