,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of admit
0,337.0,118.0,4.0,4.5,4.5,9.65,1.0,0.92
1,324.0,107.0,4.0,4.0,4.5,8.87,1.0,0.76
2,316.0,104.0,3.0,3.0,3.5,8.0,1.0,0.72
3,322.0,110.0,3.0,3.5,2.5,8.67,1.0,0.8
4,314.0,103.0,2.0,2.0,3.0,8.21,0.0,0.65
5,330.0,115.0,5.0,4.5,3.0,9.34,1.0,0.9
6,321.0,109.0,3.0,3.0,4.0,8.2,1.0,0.75
7,308.0,101.0,2.0,3.0,4.0,7.9,0.0,0.68
8,302.0,102.0,1.0,2.0,1.5,8.0,0.0,0.5
9,323.0,108.0,3.0,3.5,3.0,8.6,0.0,0.45
10,325.0,106.0,3.0,3.5,4.0,8.4,1.0,0.52
11,327.0,111.0,4.0,4.0,4.5,9.0,1.0,0.84
12,328.0,112.0,4.0,4.0,4.5,9.1,1.0,0.78
13,307.0,109.0,3.0,4.0,3.0,8.0,1.0,0.62
14,311.0,104.0,3.0,3.5,2.0,8.2,1.0,0.61
15,314.0,105.0,3.0,3.5,2.5,8.3,0.0,0.54
16,317.0,107.0,3.0,4.0,3.0,8.7,0.0,0.66
17,319.0,106.0,3.0,4.0,3.0,8.0,1.0,0.65
18,318.0,110.0,3.0,4.0,3.0,8.8,0.0,0.63
19,303.0,102.0,3.0,3.5,3.0,8.5,0.0,0.62
20,312.0,107.0,3.0,3.0,2.0,7.9,1.0,0.64
21,325.0,114.0,4.0,3.0,2.0,8.4,0.0,0.7
22,328.0,116.0,5.0,5.0,5.0,9.5,1.0,0.94
23,334.0,119.0,5.0,5.0,4.5,9.7,1.0,0.95
24,336.0,119.0,5.0,4.0,3.5,9.8,1.0,0.97
25,340.0,120.0,5.0,4.5,4.5,9.6,1.0,0.94
26,322.0,109.0,5.0,4.5,3.5,8.8,0.0,0.76
27,298.0,98.0,2.0,1.5,2.5,7.5,1.0,0.44
28,295.0,93.0,1.0,2.0,2.0,7.2,0.0,0.46
29,310.0,99.0,2.0,1.5,2.0,7.3,0.0,0.54
30,300.0,97.0,2.0,3.0,3.0,8.1,1.0,0.65
31,327.0,103.0,3.0,4.0,4.0,8.3,1.0,0.74
32,338.0,118.0,4.0,3.0,4.5,9.4,1.0,0.91
33,340.0,114.0,5.0,4.0,4.0,9.6,1.0,0.9
34,331.0,112.0,5.0,4.0,5.0,9.8,1.0,0.94
35,320.0,110.0,5.0,5.0,5.0,9.2,1.0,0.88
36,299.0,106.0,2.0,4.0,4.0,8.4,0.0,0.64
37,300.0,105.0,1.0,1.0,2.0,7.8,0.0,0.58
38,304.0,105.0,1.0,3.0,1.5,7.5,0.0,0.52
39,307.0,108.0,2.0,4.0,3.5,7.7,0.0,0.48
40,308.0,110.0,3.0,3.5,3.0,8.0,1.0,0.46
41,316.0,105.0,2.0,2.5,2.5,8.2,1.0,0.49
42,313.0,107.0,2.0,2.5,2.0,8.5,1.0,0.53
43,332.0,117.0,4.0,4.5,4.0,9.1,0.0,0.87
44,326.0,113.0,5.0,4.5,4.0,9.4,1.0,0.91
45,322.0,110.0,5.0,5.0,4.0,9.1,1.0,0.88
46,329.0,114.0,5.0,4.0,5.0,9.3,1.0,0.86
47,339.0,119.0,5.0,4.5,4.0,9.7,0.0,0.89
48,321.0,110.0,3.0,3.5,5.0,8.85,1.0,0.82
49,327.0,111.0,4.0,3.0,4.0,8.4,1.0,0.78
50,313.0,98.0,3.0,2.5,4.5,8.3,1.0,0.76
51,312.0,100.0,2.0,1.5,3.5,7.9,1.0,0.56
52,334.0,116.0,4.0,4.0,3.0,8.0,1.0,0.78
53,324.0,112.0,4.0,4.0,2.5,8.1,1.0,0.72
54,322.0,110.0,3.0,3.0,3.5,8.0,0.0,0.7
55,320.0,103.0,3.0,3.0,3.0,7.7,0.0,0.64
56,316.0,102.0,3.0,2.0,3.0,7.4,0.0,0.64
57,298.0,99.0,2.0,4.0,2.0,7.6,0.0,0.46
58,300.0,99.0,1.0,3.0,2.0,6.8,1.0,0.36
59,311.0,104.0,2.0,2.0,2.0,8.3,0.0,0.42
60,309.0,100.0,2.0,3.0,3.0,8.1,0.0,0.48
61,307.0,101.0,3.0,4.0,3.0,8.2,0.0,0.47
62,304.0,105.0,2.0,3.0,3.0,8.2,1.0,0.54
63,315.0,107.0,2.0,4.0,3.0,8.5,1.0,0.56
64,325.0,111.0,3.0,3.0,3.5,8.7,0.0,0.52
65,325.0,112.0,4.0,3.5,3.5,8.92,0.0,0.55
66,327.0,114.0,3.0,3.0,3.0,9.02,0.0,0.61
67,316.0,107.0,2.0,3.5,3.5,8.64,1.0,0.57
68,318.0,109.0,3.0,3.5,4.0,9.22,1.0,0.68
69,328.0,115.0,4.0,4.5,4.0,9.16,1.0,0.78
70,332.0,118.0,5.0,5.0,5.0,9.64,1.0,0.94
71,336.0,112.0,5.0,5.0,5.0,9.76,1.0,0.96
72,321.0,111.0,5.0,5.0,5.0,9.45,1.0,0.93
73,314.0,108.0,4.0,4.5,4.0,9.04,1.0,0.84
74,314.0,106.0,3.0,3.0,5.0,8.9,0.0,0.74
75,329.0,114.0,2.0,2.0,4.0,8.56,1.0,0.72
76,327.0,112.0,3.0,3.0,3.0,8.72,1.0,0.74
77,301.0,99.0,2.0,3.0,2.0,8.22,0.0,0.64
78,296.0,95.0,2.0,3.0,2.0,7.54,1.0,0.44
79,294.0,93.0,1.0,1.5,2.0,7.36,0.0,0.46
80,312.0,105.0,3.0,2.0,3.0,8.02,1.0,0.5
81,340.0,120.0,4.0,5.0,5.0,9.5,1.0,0.96
82,320.0,110.0,5.0,5.0,4.5,9.22,1.0,0.92
83,322.0,115.0,5.0,4.0,4.5,9.36,1.0,0.92
84,340.0,115.0,5.0,4.5,4.5,9.45,1.0,0.94
85,319.0,103.0,4.0,4.5,3.5,8.66,0.0,0.76
86,315.0,106.0,3.0,4.5,3.5,8.42,0.0,0.72
87,317.0,107.0,2.0,3.5,3.0,8.28,0.0,0.66
